time,BTC_drr,ETH_drr,BNB_drr,XRP_drr,ADA_drr,total_drr,asset,max_asset,dd,mdd
2019-10-07 09:00:00,1.0,,,,,1.0,1.0,1.0,0.0,0.0
2019-10-08 09:00:00,1.0,,,,,1.0,1.0,1.0,0.0,0.0
2019-10-09 09:00:00,1.034113993593395,,,,,1.034113993593395,1.034113993593395,1.034113993593395,0.0,0.0
2019-10-10 09:00:00,1.0,,,,,1.0,1.034113993593395,1.034113993593395,0.0,0.0
2019-10-11 09:00:00,0.9744398072169618,,,,,0.9744398072169618,1.0076818405575103,1.034113993593395,-0.025560192783038116,-0.025560192783038116
2019-10-12 09:00:00,1.0,,,,,1.0,1.0076818405575103,1.034113993593395,-0.025560192783038116,-0.025560192783038116
2019-10-13 09:00:00,0.9821955338981583,,,,,0.9821955338981583,0.9897406033858627,1.034113993593395,-0.04290957329891765,-0.04290957329891765
2019-10-14 09:00:00,1.0,,,,,1.0,0.9897406033858627,1.034113993593395,-0.04290957329891765,-0.04290957329891765
2019-10-15 09:00:00,1.0120005980384827,,,,,1.0120005980384827,1.0016180825294618,1.034113993593395,-0.03142391580159798,-0.04290957329891765
2019-10-16 09:00:00,1.0005042410046783,,,,,1.0005042410046783,1.0021231394377004,1.034113993593395,-0.030935520023794516,-0.04290957329891765
2019-10-17 09:00:00,1.0,,,,,1.0,1.0021231394377004,1.034113993593395,-0.030935520023794516,-0.04290957329891765
2019-10-18 09:00:00,1.0035442110589958,,,,,1.0035442110589958,1.005674875350971,1.034113993593395,-0.027500950976982907,-0.04290957329891765
2019-10-19 09:00:00,1.0,,,,,1.0,1.005674875350971,1.034113993593395,-0.027500950976982907,-0.04290957329891765
2019-10-20 09:00:00,1.017612701353023,,,,,1.017612701353023,1.0233875265887662,1.034113993593395,-0.010372615660441675,-0.04290957329891765
2019-10-21 09:00:00,1.0,,,,,1.0,1.0233875265887662,1.034113993593395,-0.010372615660441675,-0.04290957329891765
2019-10-22 09:00:00,1.0109495330318705,,,,,1.0109495330318705,1.034593142115554,1.034593142115554,0.0,-0.04290957329891765
2019-10-23 09:00:00,1.0550140656396518,,,,,1.0550140656396518,1.0915103171462328,1.0915103171462328,0.0,-0.04290957329891765
2019-10-24 09:00:00,1.0,,,,,1.0,1.0915103171462328,1.0915103171462328,0.0,-0.04290957329891765
2019-10-25 09:00:00,1.0,,,,,1.0,1.0915103171462328,1.0915103171462328,0.0,-0.04290957329891765
2019-10-26 09:00:00,0.985243049997332,,,,,0.985243049997332,1.0754029539687096,1.0915103171462328,-0.014756950002667968,-0.04290957329891765
2019-10-27 09:00:00,1.0,,,,,1.0,1.0754029539687096,1.0915103171462328,-0.014756950002667968,-0.04290957329891765
2019-10-28 09:00:00,0.9307409183853786,,,,,0.9307409183853786,1.0009215330111858,1.0915103171462328,-0.08299397881267168,-0.08299397881267168
2019-10-29 09:00:00,1.0,,,,,1.0,1.0009215330111858,1.0915103171462328,-0.08299397881267168,-0.08299397881267168
2019-10-30 09:00:00,1.0,,,,,1.0,1.0009215330111858,1.0915103171462328,-0.08299397881267168,-0.08299397881267168
2019-10-31 09:00:00,0.9528037963252535,,,,,0.9528037963252535,0.9536818364767503,1.0915103171462328,-0.12627318175959779,-0.12627318175959779
2019-11-01 09:00:00,1.0,,,,,1.0,0.9536818364767503,1.0915103171462328,-0.12627318175959779,-0.12627318175959779
2019-11-02 09:00:00,0.9937126634223373,,,,,0.9937126634223373,0.9476857177828175,1.0915103171462328,-0.13176659634280552,-0.13176659634280552
2019-11-03 09:00:00,1.0,,,,,1.0,0.9476857177828175,1.0915103171462328,-0.13176659634280552,-0.13176659634280552
2019-11-04 09:00:00,1.005431418113252,,,,,1.005431418113252,0.9528329951560534,1.0915103171462328,-0.12705085770765134,-0.13176659634280552
2019-11-05 09:00:00,1.0,,,,,1.0,0.9528329951560534,1.0915103171462328,-0.12705085770765134,-0.13176659634280552
2019-11-06 09:00:00,1.0,,,,,1.0,0.9528329951560534,1.0915103171462328,-0.12705085770765134,-0.13176659634280552
2019-11-07 09:00:00,1.0031877600426915,,,,,1.0031877600426915,0.9558703981053699,1.0915103171462328,-0.12426810531255006,-0.13176659634280552
2019-11-08 09:00:00,1.034328657565843,,,,,1.034328657565843,0.9886841456792552,1.0915103171462328,-0.09420540498033758,-0.13176659634280552
2019-11-09 09:00:00,1.0,,,,,1.0,0.9886841456792552,1.0915103171462328,-0.09420540498033758,-0.13176659634280552
2019-11-10 09:00:00,1.0173864608182923,,,,,1.0173864608182923,1.0058738638397744,1.0915103171462328,-0.07845684274460729,-0.13176659634280552
2019-11-11 09:00:00,1.0113278488886954,,,,,1.0113278488886954,1.0172682509704396,1.0915103171462328,-0.06801774111480685,-0.13176659634280552
2019-11-12 09:00:00,1.0,,,,,1.0,1.0172682509704396,1.0915103171462328,-0.06801774111480685,-0.13176659634280552
2019-11-13 09:00:00,1.0,,,,,1.0,1.0172682509704396,1.0915103171462328,-0.06801774111480685,-0.13176659634280552
2019-11-14 09:00:00,1.0080453585582458,,,,,1.0080453585582458,1.0254525387994164,1.0915103171462328,-0.06051960967215153,-0.13176659634280552
2019-11-15 09:00:00,1.0071831772149358,,,,,1.0071831772149358,1.0328185461111186,1.0915103171462328,-0.05377115553846945,-0.13176659634280552
2019-11-16 09:00:00,1.0,,,,,1.0,1.0328185461111186,1.0915103171462328,-0.05377115553846945,-0.13176659634280552
2019-11-17 09:00:00,0.9876473996219546,,,,,0.9876473996219546,1.0200605513479741,1.0915103171462328,-0.0654595423202824,-0.13176659634280552
